t,x0,x1
1.74,0.0220535,-0.075844
1.75,0.021295,-0.0765761
1.76,0.021295,-0.0765761
1.77,0.0205293,-0.0770673
1.78,0.0205293,-0.0770673
1.79,0.0197586,-0.0773164
1.8,0.0197586,-0.0773164
1.81,0.0189854,-0.0773231
1.82,0.0189854,-0.0773231
1.83,0.0182122,-0.0770879
1.84,0.0182122,-0.0770879
1.85,0.0174413,-0.076612
1.86,0.0174413,-0.076612
1.87,0.0166752,-0.0758975
1.88,0.0166752,-0.0758975
1.89,0.0159162,-0.0749474
1.9,0.0159162,-0.0749474
1.91,0.0151668,-0.0737651
1.92,0.0151668,-0.0737651
1.93,0.0144291,-0.0723552
1.94,0.0144291,-0.0723552
1.95,0.0137056,-0.0707229
1.96,0.0137056,-0.0707229
1.97,0.0129983,-0.068874
1.98,0.0129983,-0.068874
1.99,0.0123096,-0.0668153
2,0.0123096,-0.0668153
2.01,0.0116414,-0.0645542
2.02,0.0116414,-0.0645542
2.03,0.0109959,-0.0620987
2.04,0.0109959,-0.0620987
2.05,0.0103749,-0.0594576
2.06,0.0103749,-0.0594576
2.07,0.00978034,-0.0566402
2.08,0.00978034,-0.0566402
2.09,0.00921394,-0.0536565
2.1,0.00921394,-0.0536565
2.11,0.00867737,-0.0505172
2.12,0.00867737,-0.0505172
2.13,0.0081722,-0.0472331
2.14,0.0081722,-0.0472331
2.15,0.00769987,-0.0438161
2.16,0.00769987,-0.0438161
2.17,0.00726171,-0.0402781
2.18,0.00726171,-0.0402781
2.19,0.00685893,-0.0366317
2.2,0.00685893,-0.0366317
2.21,0.00649261,-0.0328897
2.22,0.00649261,-0.0328897
2.23,0.00616371,-0.0290653
2.24,0.00616371,-0.0290653
2.25,0.00587306,-0.0251722
2.26,0.00587306,-0.0251722
2.27,0.00562134,-0.021224
2.28,0.00562134,-0.021224
2.29,0.0054091,-0.0172349
2.3,0.0054091,-0.0172349
2.31,0.00523675,-0.0132189
2.32,0.00523675,-0.0132189
2.33,0.00510456,-0.00919035
2.34,0.00510456,-0.00919035
2.35,0.00501266,-0.00516366
2.36,0.00501266,-0.00516366
2.37,0.00496102,-0.00115317
2.38,0.00496102,-0.00115317
2.39,0.00494949,0.00282674
2.4,0.00494949,0.00282674
2.41,0.00497776,0.00676178
2.42,0.00497776,0.00676178
2.43,0.00504538,0.0106378
2.44,0.00504538,0.0106378
2.45,0.00515175,0.0144408
2.46,0.00515175,0.0144408
2.47,0.00529616,0.018157
2.48,0.00529616,0.018157
2.49,0.00547773,0.0217728
2.5,0.00547773,0.0217728
2.51,0.00569546,0.0252752
2.52,0.00569546,0.0252752
2.53,0.00594821,0.0286511
2.54,0.00594821,0.0286511
